OBJECTID,Year,SiteYearID,SiteID,StnNumStrt,StnNumEnd,AssessDate,HabType,HabDetail,StnLgth,StnWdth,StnDpthAvg,StnDpthMax,StnEmbed,StnFines,StnEsCov,StnCan,StnDecid,StnSthd,YearLabel,GlobalID
10021,2008,2008-SOQ-west-19,SOQ-west-19,9,9,2008/09/25 00:00:00+00,riffle,,32,23,0.2,0.4,25,20,0,,,26,2008,{4F47E392-990E-4A16-8938-FDA2751CDA46}
10022,2008,2008-SOQ-west-19,SOQ-west-19,10,10,2008/09/25 00:00:00+00,pool,,236,14,1,1.7,25,80,13,86,80,146,2008,{D7AD5716-7FAB-4BB6-9DF6-B99AFDF7E3D3}
10023,2008,2008-APT-vale-2,APT-vale-2,32,32,2008/09/26 00:00:00+00,run,,49,8,0.3,0.5,99,,,,,10,2008,{FE3DAE66-BCEF-4B4F-84F4-948F3BCCC271}
10024,2008,2008-APT-vale-2,APT-vale-2,33,33,2008/09/26 00:00:00+00,pool,,51,10,0.5,1.3,100,,4,74,10,16,2008,{27141FA6-46C8-4853-9509-AA04C4912F34}
10025,2008,2008-APT-vale-2,APT-vale-2,35,35,2008/09/26 00:00:00+00,pool,,32,10,0.6,1.3,85,,,72,40,16,2008,{0660C300-2E77-437C-A6AF-7030C9C18407}
10026,2008,2008-APT-vale-2,APT-vale-2,36,36,2008/09/26 00:00:00+00,riffle,,17,8,0.2,0.3,,,,,,2,2008,{B7E88B1C-6820-452B-93D3-4C1B589A0A84}
10027,2008,2008-APT-vale-2,APT-vale-2,37,37,2008/09/26 00:00:00+00,pool,,58,10,0.4,1,85,40,7,76,30,28,2008,{F199EE74-6169-4493-8812-1F710424A001}
10028,2008,2008-APT-vale-2,APT-vale-2,38,38,2008/09/26 00:00:00+00,riffle,,5,4,0.2,0.4,,,,,,2,2008,{97FD7503-C465-45E5-92DA-1B47E111D34D}
10029,2008,2008-APT-vale-3,APT-vale-3,1,1,2008/09/26 00:00:00+00,pool,,37,7,0.7,1.6,75,50,9.5,,,21,2008,{91E48D6A-686D-4D8E-BB83-5FB83D36DC3A}
10030,2008,2008-APT-vale-3,APT-vale-3,2,2,2008/09/26 00:00:00+00,riffle,,12,4.5,0.15,0.4,,,2,,,0,2008,{7949A33C-C736-4D89-89AC-3F0FF62D112D}
10031,2008,2008-APT-vale-3,APT-vale-3,3,3,2008/09/26 00:00:00+00,pool,,33,12,1,1.9,70,25,7,,,22,2008,{F176DC61-0E00-4BE6-8FAD-1DB34B92C6E1}
10032,2008,2008-APT-vale-3,APT-vale-3,14,14,2008/09/26 00:00:00+00,riffle,,44,5,0.2,0.6,20,25,3,,,10,2008,{F2C25BDC-258B-4296-A599-A58AB10FF3DD}
10033,2008,2008-APT-vale-3,APT-vale-3,15,15,2008/09/26 00:00:00+00,pool,,69,11,0.7,1.1,90,35,5.5,,,47,2008,{C1758F0A-4581-4B69-8E8D-2788AF642A48}
10034,2008,2008-APT-apto-3,APT-apto-3,31,31,2008/09/29 00:00:00+00,pool,,81,15,1.1,1.8,70,50,9,64,90,34,2008,{DD216B8F-2178-4DDF-826C-D946E4205608}
10035,2008,2008-APT-apto-3,APT-apto-3,32,32,2008/09/29 00:00:00+00,riffle,,26,12,0.15,0.3,,,,,,5,2008,{0611E4A6-718A-4973-B87A-10AAD0639BDE}
10036,2008,2008-APT-apto-3,APT-apto-3,33,33,2008/09/29 00:00:00+00,pool,,71,14,0.7,1.4,45,55,11,,,35,2008,{ECC1DDCB-B535-42CF-A693-411D6F2227EA}
10037,2008,2008-APT-apto-3,APT-apto-3,41,41,2008/09/29 00:00:00+00,run,,40,18,0.3,0.7,25,35,0,,,20,2008,{B94B8A29-B20C-4373-9F6C-C0E34D7DA0C1}
10038,2008,2008-APT-apto-4,APT-apto-4,34,34,2008/09/29 00:00:00+00,run,,29,14,0.5,0.7,,,,,,26,2008,{F8A0F8F0-C792-43B7-BCB6-1D0B07B52CDB}
10039,2008,2008-APT-apto-4,APT-apto-4,35,35,2008/09/29 00:00:00+00,pool,,135,15,1,2.2,60,60,13,,,136,2008,{E0DE11D0-CE16-4DBF-8F47-B6BFBA48BCC2}
10040,2008,2008-APT-apto-4,APT-apto-4,36,36,2008/09/29 00:00:00+00,riffle,,49,14,0.4,0.8,,,,,,38,2008,{D7BCADE7-91B5-4BC4-A080-D122AE984872}
10041,2008,2008-APT-apto-4,APT-apto-4,37,37,2008/09/29 00:00:00+00,pool,,96,13,1,2.1,75,55,13.5,,,58,2008,{0B7A548B-0417-4E10-A879-E2AB94B7F2A0}
10042,2008,2008-PAJ-corr-1,PAJ-corr-1,23,23,2008/09/30 00:00:00+00,pool,,68,18,0.9,1.5,60,50,8,74,100,63,2008,{EC908035-F729-488A-861B-8D7E340A6320}
10043,2008,2008-PAJ-corr-1,PAJ-corr-1,24,24,2008/09/30 00:00:00+00,run,,52,15,0.6,0.9,20,35,7,,,34,2008,{144D37CD-A9C2-4F59-BDF4-56659FBBA4DB}
10044,2008,2008-PAJ-corr-1,PAJ-corr-1,25,25,2008/09/30 00:00:00+00,riffle,,45,13,0.55,0.6,15,35,3,,,24,2008,{92A1876E-4452-4236-B967-17A3B3E742E3}
10045,2008,2008-PAJ-corr-1,PAJ-corr-1,49,49,2008/09/30 00:00:00+00,pool,,78,20,1,2.1,40,50,6,80,100,35,2008,{E2B64C62-07A9-4FE6-9466-326997089684}
10046,2008,2008-PAJ-corr-3,PAJ-corr-3,9,9,2008/09/30 00:00:00+00,run,,37,22,0.5,0.7,20,30,2,,,8,2008,{084BE2F3-CB30-46AE-86A4-9941F7A9CB93}
10047,2008,2008-PAJ-corr-3,PAJ-corr-3,10,10,2008/09/30 00:00:00+00,pool,,41,16,1,1.5,40,35,5,,,22,2008,{5CDB4C68-32AC-4A63-BD9C-55B7CD72EEE9}
10048,2008,2008-PAJ-corr-3,PAJ-corr-3,11,11,2008/09/30 00:00:00+00,riffle,,11,16,0.2,0.6,10,30,0,,,1,2008,{44B20E04-85CB-46E2-B29B-BC2D9958F355}
10049,2008,2008-PAJ-corr-3,PAJ-corr-3,12,12,2008/09/30 00:00:00+00,pool,,70,20,1.1,2.1,90,60,7,82,15,32,2008,{2B5B11EE-5851-4F4B-8332-9CC583EC9236}
10050,2008,2008-PAJ-corr-3,PAJ-corr-3,13,13,2008/09/30 00:00:00+00,pool,,96,16,1.2,2.2,90,45,25,,,28,2008,{199F37A6-DAC2-4DDF-9D3C-5D43AA1FC933}
10051,2008,2008-PAJ-corr-3,PAJ-corr-3,14,14,2008/09/30 00:00:00+00,riffle,,8,27,0.15,0.35,10,25,0.05,,,1,2008,{F8DD5BE4-3D37-4DA3-8EDA-A3401543DA22}
10052,2008,2008-PAJ-corr-8,PAJ-corr-8,55,55,2008/10/01 00:00:00+00,pool,,39,17,1.5,2,40,35,12,72,25,20,2008,{362455DB-34D9-4DFD-8E56-8ABB2E68ABF9}
10053,2008,2008-PAJ-corr-8,PAJ-corr-8,56,56,2008/10/01 00:00:00+00,riffle,,9,5,0.2,0.8,,,,,,1,2008,{F88E9F73-79B0-4083-A7D0-76484CC8B925}
