OBJECTID,STREAM_NM,GNIS_ID,GlobalID,SHAPE_Length
1,Bean Creek,00218782,{41CC57B6-75D9-4772-8E0D-11CAFCD12846},48036.7868251285
2,Branciforte Creek,00219771,{AA87D855-49C6-4E5B-B0EE-9240DE41ACE8},38219.4322337443
3,Browns Creek, ,{A2030483-6B6B-4799-B4EC-733383CDA876},26484.757681716
4,Carbonera Creek, ,{23A7551E-24C1-4586-A0D0-A5CD0E99472E},48118.5609915202
5,Fall Creek,00223367,{2EBBD385-2E29-4001-8350-352541AD6525},26708.7695747425
6,Lompico Creek,00227502,{ADB2E109-D7AC-4C80-B134-D469933D8914},23493.07850276
7,Newell Creek,00229513,{2013A277-B57D-4617-A2CA-42AC2F79D9E2},39925.2941610319
8,Valencia Creek,00236950,{62EC6053-0F19-4FD4-B9C3-3015A88EE95A},33205.1901347844
9,West Soquel Creek, ,{F44FAC3E-98A6-48C5-9184-E25C1A7E5BB0},32944.3721693197
10,Zayante Creek,00238308,{B32F80FD-951C-4DE4-9821-5D0624D82CAC},54884.6598608863
11,Shingle Mill Gulch, ,{B6704B4F-3FC9-4E85-A438-434D4FD1AF31},5469.05661400911
13,Bear Creek,00218798,{DA2FCA71-FD1E-46A1-97DF-9181EF20CFFD},47227.5145335508
14,Kings Creek,00226601,{9690C77B-02E6-4041-AF14-40EE83A4D0D8},34161.3979139344
15,San Lorenzo River,00248894,{B801E4E7-FA9C-4195-999F-45A13407F00A},153812.030747987
16,Corralitos Creek,00221595,{E20A693F-F212-4D76-9511-1494DF0BB747},66450.3274645187
17,Salsipuedes Creek,00234611,{EBD33B75-3229-4643-9DAA-6FF0744A0DD8},17909.5182504973
18,Casserly Creek, ,{C6C91D3C-5BF3-40C1-84BD-2555842910E2},16525.5050395534
19,Green Valley Creek, ,{0579A16A-9779-40A7-BE47-B3A83DA9013B},10157.7659070274
20,Aptos Creek,00254571,{8FB74FE7-DA56-4C62-8456-EA8F43402240},46498.6716737426
21,East Soquel Creek,00253912,{D066E804-437D-4D5F-99CC-0B4823FD42C8},43366.797131782
23,Pajaro River,00230242,{913941E6-8B1A-4152-9443-171C0A5270A4},33635.0851889672
24,Soquel Creek,00253912,{97705E40-9C6B-4DD1-836E-872344D231E3},37171.7221862853
28,Boulder Creek,00219687,{4F01DAB7-9100-43D7-92A9-24B011CAE0DC},41836.3539104819
