OBJECTID,ReachID,Watershed,Stream,ReachNum,CreekMile,Boundaries,GlobalID,SHAPE_Length
1,PAJ-brwn-1,PAJ,PAJ-brwn,1,NA,First Bridge Crossing on Browns Valley Road below the Diversion Dam to the Diversion Dam,{CDA0C2D5-20AA-463F-B073-7FB8141E29AB},0.00332778401199108
2,PAJ-brwn-2,PAJ,PAJ-brwn,2,NA,Diversion Dam to Redwood Canyon Creek Confluence,{35572CE9-23B0-4F20-915E-B33AC480D610},0.0143974263829654
3,PAJ-corr-1,PAJ,PAJ-corr,1,CM0.00 – CM10.25,Browns Creek Confluence to 0.25 miles Below Diversion Dam,{F453EB21-1743-4F5D-A2C9-22341A18B63E},0.0135248700981367
4,PAJ-corr-2,PAJ,PAJ-corr,2,CM10.25.6 - CM10.5,0.25 miles below Diversion Dam to Diversion Dam,{4FD1783B-5F3D-43C0-A935-40F4E4594E57},0.00221101583802944
5,PAJ-corr-3,PAJ,PAJ-corr,3,CM10.5 – CM11.77,Diversion Dam to Rider Creek Confluence,{64D3DAAC-3253-4B56-8C26-C47D885A8381},0.0141832454703752
6,PAJ-corr-4,PAJ,PAJ-corr,4,CM11.77 – CM12.87,Rider Creek Confluence to Box Culvert Crossing above Rider Creek Confluence,{0164F43C-863F-4B1E-AEB0-2A0B3AD32EA0},0.0125540081102534
7,PAJ-corr-5,PAJ,PAJ-corr,5,CM12.46 – CM12.87 CM2.7 -CM3.5,First Bridge Crossing Above Rider Creek to Clipper Gulch Confluence,{8D6204F6-9B22-4C01-B5D3-C8505B240EFC},0.00609648407276188
8,PAJ-corr-6,PAJ,PAJ-corr,6,CM12.87 – CM13.33,Clipper Gulch Confluence to Eureka Gulch Confluence,{3BCF570C-7DF1-4D39-A02B-AC7E9C74D86A},0.00498065147659159
9,PAJ-corr-7,PAJ,PAJ-corr,7,CM13.33 –CM13.98,Eureka Gulch Confluence to Shingle Mill Gulch Confluence,{2FF3F710-D29F-4485-AF1A-76C26CA30249},0.0117813893327938
10,PAJ-shng-1,PAJ,PAJ-shng,1,CM0.0 – CM0.35,From Corralitos Creek Confluence to Second Eureka Canyon Road Crossing on Shingle Mill Gulch,{8BEA0728-17D4-4301-BAE2-E3B6279449AD},0.00624453654653119
