X,Y,OBJECTID,Year,SiteYearID,SiteID,SampleDate,Dry_rating,DensTtl,Dens_A1,Dens_A2,Dens_S1,Dens_S2,Sp_Sthd,Sp_SthdRT,Sp_Coho,Sp_Cst_Sculp,Sp_Prk_Sculp,Sp_Rif_Sculp,Sp_Sa_Suck,Sp_Ca_Rch,Sp_Stick,Sp_Lamp,Sp_Dace,Sp_Bl_Gill,Sp_HCH,Sp_T_goby,Sp_A_goby,Sp_YF_goby,Sp_MQF,SP_BayPF,Sp_Stag_Scul,Sp_Str_Flo,Sp_Tp_Smlt,Sp_Shin_SP,Sp_Pac_Herr,Sp_Gi_Sal,Sp_Ywl_Fg,Sp_Rd_Fg,Sp_Bl_Fg,Sp_Ca_Nwt,Sp_Rgh_Nwt,Sp_NWT,Sp_Sln_Sal,Sp_Ws_Turt,Sp_Brwn_Trt,Sp_Pike_Minw,Sp_Gld_Shin,Sp_Grn_SF,Sp_LM_Bass,Sp_Gld_Fish,Sp_Stp_Mull,SiteSort,Watershed,YearLabel,GlobalID,Sp_Dwarf_SP,Sp_CbznScp,LJ_Mudsucker,DiamondTurbot,CalHalibut
-122.04126841,37.006613874,919,1981,1981-SLR-main-1,SLR-main-1,1981/10/01 00:00:00+00,1,17.8,,,0,17.8,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,SLR,1981,{F47C6DF4-BCF2-4261-84E3-508C72F1C5A0},,,,,
-122.057697871,37.0245636000001,920,1981,1981-SLR-main-3,SLR-main-3,1981/10/01 00:00:00+00,1,108.2,,,11.1,97.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,SLR,1981,{BC83D12F-75B3-4D21-9853-5049930A12FF},,,,,
-122.070912499,37.0421101540001,921,1981,1981-SLR-main-4,SLR-main-4,1981/10/01 00:00:00+00,1,119.5,,,41.1,78.4,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,SLR,1981,{3542B965-8BE0-4616-8F78-6AA5B67BE44E},,,,,
-122.074860162,37.0568439360001,922,1981,1981-SLR-main-6,SLR-main-6,1981/10/01 00:00:00+00,1,77,,,55.2,21.8,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,SLR,1981,{34A33BB7-9C8D-49FD-964A-746BD432612F},,,,,
-122.089860132,37.0883095230001,923,1981,1981-SLR-main-7,SLR-main-7,1981/10/01 00:00:00+00,1,40.6,,,26.4,14.2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,SLR,1981,{A01D3B95-505F-421C-AF1C-22334DCF0283},,,,,
-122.104038011,37.106837592,924,1981,1981-SLR-main-8,SLR-main-8,1981/10/01 00:00:00+00,1,90.2,,,69.4,20.8,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,SLR,1981,{FA8FF9CE-340E-4A5A-BD30-FB3A6E44BB5B},,,,,
-122.119096786,37.1206429900001,925,1981,1981-SLR-main-9,SLR-main-9,1981/10/01 00:00:00+00,1,59.6,,,12.6,47,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,SLR,1981,{FC642195-FB80-44A9-B007-638ABF037858},,,,,
-122.134448816,37.1542364410001,926,1981,1981-SLR-main-10,SLR-main-10,1981/10/01 00:00:00+00,1,41,,,32,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,SLR,1981,{CE1F4EDA-55AE-40C5-A661-E6E171E3D874},,,,,
-122.138880615,37.173365743,927,1981,1981-SLR-main-11,SLR-main-11,1981/10/01 00:00:00+00,1,17.4,,,14.6,2.8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,SLR,1981,{76F9D324-248C-4E88-9164-64C7331BDB60},,,,,
-122.147415892,37.200855007,928,1981,1981-SLR-main-12a,SLR-main-12a,1981/10/01 00:00:00+00,1,49.5,,,34.8,14.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,SLR,1981,{8F3F3416-54EB-43A5-A874-A02D86B772CA},,,,,
